| API       | Requests | Avg (ms) | Max (ms) | Throughput | Error % |
|-----------|----------|----------|----------|------------|---------|
| RAW       | 100k     | ~20–30   | <200     | ~2700      | 0%      |
|           | 500k     | ~30–35   | <200     | ~2700      | 0%      |
|           | 1M       | ~35–40   | <200     | ~2700      | 0%      |
| SEQUELIZE | 100k     | ~40–45   | <300     | ~2000      | 0%      |
|           | 500k     | ~50–60   | >500     | ~1650      | 0%      |
|           | 1M       | ~60      | >500     | ~1650      | 0%      |
