| API        | Requests | Avg (ms) | Max (ms) | Throughput | Error % |
|------------|----------|----------|----------|------------|---------|
| RAW        | 100k     | 27.64    | 197      | 2754.29    | 0%      |
|            | 500k     | 34.48    | 269      | 2750.49    | 0%      |
|            | 1M       | 36.00    | 250      | 2704.14    | 0%      |
| SEQUELIZE  | 100k     | 36.95    | 268      | 2039.69    | 0%      |
|            | 500k     | 58.77    | 1240     | 1648.67    | 0%      |
|            | 1M       | 59.61    | 524      | 1651.74    | 0%      |
